12288,28728
75522,186016
42885,105686
10248,23656
73482,181510
40845,100374
8209,18946
71442,176758
38806,95344
6169,14238
69403,170938
36766,90520
4129,9610
100000,231308
67363,165940
34726,85582
2089,4874
97960,226850
65323,161168
32686,78370
95920,220592
50,168
63283,149328
30646,74050
93880,216910
61243,145462
28607,68340
91840,211888
59204,138540
26567,63600
89801,207626
57164,132954
24527,58654
87761,218474
55124,127070
22487,52612
85721,197662
53084,123076
20447,49962
83681,198100
51044,117586
18408,44290
81641,192166
49005,116226
16368,37838
79602,184098
46965,115568
14328,33206
77562,190830
44925,110654
