18976,8959760
20000,9673220
19488,9477200
17953,8602420
18465,8868740
16930,8121800
17442,8459360
15907,7639220
16419,7835600
14884,6966600
15396,7170940
14373,6745860
13861,6500820
13350,6460040
12838,6000580
12326,5598100
11815,5408640
11303,5206020
10280,4708380
10792,4908720
9769,4422380
9257,4235880
8234,3738760
8746,3915960
7211,3139900
7723,3377760
5676,2425420
6188,2713840
6700,3339720
4653,2019680
5165,2205060
4142,1736480
3630,1492040
3119,1276980
2607,1033780
1584,604220
2096,825300
1073,398120
561,194960
50,11420
