18976,9236980
20000,9593360
19488,9481160
17953,8679660
18465,9030020
16930,8128060
17442,8354500
15907,7491100
16419,7753000
14884,6892960
15396,7423400
14373,6845780
13861,6427240
13350,6108580
12838,6184200
12326,5744160
11815,5399200
11303,5392100
10280,4923840
10792,4871860
9769,4478600
9257,4244820
8234,3678820
8746,3888080
7211,3151260
7723,3387200
5676,2465200
6188,2763800
6700,2942420
4653,2322200
5165,2169160
4142,1762960
3630,1510760
3119,1300360
2607,1048020
1584,613100
2096,830820
1073,415080
561,199480
50,11840
