15108,73342200
4101,4927500
19592,126044100
8585,23467850
13069,54712300
2063,1184200
17554,97038200
6547,13530750
11031,39370900
25,14094
15515,76066700
4509,6423350
20000,157151100
8993,27334200
13477,70061400
2470,1698657
17961,101884000
6955,14476100
11439,41594100
432,314456
15923,81027000
4916,7007533
9401,27255350
13885,59778900
2878,2442983
18369,108991300
7362,18126500
11846,47304600
840,597031
16331,87200400
5324,8418400
9808,31714600
14292,70654700
3286,3114580
18777,111287100
7770,18173300
12254,47536300
1247,1678033
16738,92355700
5732,10256700
10216,33357800
14700,69464300
3693,4014360
19184,118874000
8178,20425650
12662,50485600
1655,754310
17146,101223300
6139,11055800
10623,34705300
