15108,21900
4101,5960
19592,28142
8585,12488
13069,18878
2063,2978
17554,25422
6547,9488
11031,15994
25,78
15515,22442
4509,6534
20000,28978
8993,13090
13477,19604
2470,3622
17961,25976
6955,10042
11439,16614
432,664
15923,23074
4916,7050
9401,13746
13885,20158
2878,4204
18369,26474
7362,10686
11846,17104
840,1236
16331,23732
5324,7758
9808,14360
14292,20724
3286,4762
18777,27160
7770,11268
12254,18158
1247,1806
16738,24088
5732,8320
10216,14848
14700,21482
3693,5366
19184,27918
8178,11826
12662,18386
1655,2400
17146,24872
6139,8910
10623,15534
