15108,88666
4101,24048
19592,119292
8585,49314
13069,77774
2063,11896
17554,104286
6547,37694
11031,65494
25,128
15515,93044
4509,25162
20000,119446
8993,51606
13477,77794
2470,14156
17961,102966
6955,39878
11439,67598
432,2230
15923,91482
4916,28000
9401,53946
13885,80148
2878,16484
18369,108558
7362,42310
11846,70062
840,4740
16331,93908
5324,30552
9808,58210
14292,87952
3286,18746
18777,111766
7770,44664
12254,72434
1247,7138
16738,99784
5732,32792
10216,60198
14700,86680
3693,21294
19184,113474
8178,47646
12662,74972
1655,9338
17146,99356
6139,36164
10623,62860
