12288,56314
75522,364480
42885,202050
10248,46830
73482,354774
40845,194052
8209,37346
71442,345506
38806,182232
6169,27884
69403,334546
36766,173296
4129,18372
100000,527986
67363,324556
34726,163054
2089,9156
97960,476446
65323,312322
32686,153440
95920,465696
50,212
63283,301660
30646,143622
93880,467838
61243,292428
28607,133204
91840,447114
59204,282758
26567,125110
89801,436536
57164,273158
24527,114438
87761,425064
55124,262382
22487,104552
85721,415086
53084,251974
20447,94824
83681,405970
51044,242490
18408,85370
81641,394358
49005,232126
16368,75206
79602,386316
46965,222398
14328,65634
77562,376242
44925,212020
