15108,79879466
4101,4965286
19592,136547694
8585,23517916
13069,59028980
2063,1084028
17554,109648582
6547,13840116
11031,41609282
25,822
15515,84168798
4509,6083460
20000,143335526
8993,27105072
13477,63113276
2470,1492258
17961,114433026
6955,15627310
11439,44634292
432,43070
15923,89582330
4916,6880064
9401,29487526
13885,66950440
2878,2062696
18369,120585774
7362,17044950
11846,48166692
840,159270
16331,93720414
5324,8359370
9808,32605828
14292,71130704
3286,3081262
18777,125117904
7770,19748310
12254,51874978
1247,346576
16738,98072010
5732,10207286
10216,35326348
14700,75519158
3693,3982562
19184,131061818
8178,22010724
12662,55296078
1655,636774
17146,103587012
6139,11815044
10623,38193820
